Código,Ciudad,Provincia
[176],Teniente Hugo Ortiz,Pastaza
[177],Tarqui,Pastaza
[178],Simón Bolívar,Pastaza
[179],Pomona,Pastaza
[180],Quito,Pichincha
[181],Cayambe,Pichincha
[182],Mejía,Pichincha
[183],Pedro Moncayo,Pichincha
[184],Pedro Vicente Maldonado,Pichincha
[185],Puerto Quito,Pichincha
[186],Rumiñahui,Pichincha
[187],San Miguel de los Bancos,Pichincha
[188],Tabacundo,Pichincha
[189],Calacalí,Pichincha
[190],Santa Elena,Santa Elena
[191],La Libertad,Santa Elena
[192],Salinas,Santa Elena
[193],Ballenita,Santa Elena
[194],Anconcito,Santa Elena
[195],Chanduy,Santa Elena
[196],Manglaralto,Santa Elena
[197],Valdivia,Santa Elena
[198],Simón Bolívar,Santa Elena
[199],Atahualpa,Santa Elena
[200],Santo Domingo,Santo Domingo de los Tsáchilas
[201],La Concordia,Santo Domingo de los Tsáchilas
[202],Puerto Limón,Santo Domingo de los Tsáchilas
[203],Alluriquín,Santo Domingo de los Tsáchilas
[204],Valle Hermoso,Santo Domingo de los Tsáchilas
[205],El Esfuerzo,Santo Domingo de los Tsáchilas
[206],Santa María del Toachi,Santo Domingo de los Tsáchilas
[207],Plan Piloto,Santo Domingo de los Tsáchilas
[208],Zaracay,Santo Domingo de los Tsáchilas
[209],Julio Moreno,Santo Domingo de los Tsáchilas
[210],Nueva Loja,Sucumbíos
[211],Shushufindi,Sucumbíos
[212],Lago Agrio,Sucumbíos
[213],Cascales,Sucumbíos
[214],Cuyabeno,Sucumbíos
[215],Gonzalo Pizarro,Sucumbíos
[216],Putumayo,Sucumbíos
[217],Tarapoa,Sucumbíos
[218],Pacayacu,Sucumbíos
[219],Puerto El Carmen,Sucumbíos
[220],Ambato,Tungurahua
[221],Baños,Tungurahua
[222],Pelileo,Tungurahua
[223],Píllaro,Tungurahua
[224],Tisaleo,Tungurahua
[225],Patate,Tungurahua
[226],Mocha,Tungurahua
[227],Cevallos,Tungurahua
[228],Quero,Tungurahua
[229],Santa Rosa,Tungurahua
[230],Zamora,Zamora Chinchipe
[231],Yantzaza,Zamora Chinchipe
[232],El Pangui,Zamora Chinchipe
[233],Centinela del Cóndor,Zamora Chinchipe
[234],Paquisha,Zamora Chinchipe
[235],Chinchipe,Zamora Chinchipe
[236],Palanda,Zamora Chinchipe
[237],Nangaritza,Zamora Chinchipe
[238],Yacuambi,Zamora Chinchipe
[239],Zumba,Zamora Chinchipe
